subject,trial_number,start_time,end_time,duration_s,trial_name
sub-01,1,132.838,192.84,60.00200000000001,c
sub-01,2,209.4,269.404,60.00399999999999,o
sub-01,3,301.93,361.932,60.00200000000001,l
sub-01,4,374.018,434.02,60.00200000000001,r
sub-02,1,61.072,121.074,60.001999999999995,c
sub-02,2,134.602,194.604,60.00200000000001,o
sub-02,3,229.658,289.66,60.00200000000004,l
sub-02,4,314.12,374.122,60.00200000000001,r
sub-03,1,63.476,123.48,60.004000000000005,c
sub-03,2,143.84,203.844,60.00399999999999,o
sub-03,3,269.74,329.744,60.00400000000002,l
sub-03,4,334.956,394.96,60.00399999999996,r
sub-05,1,35.568,95.57,60.001999999999995,c
sub-05,2,110.47,170.472,60.00200000000001,o
sub-05,3,176.324,236.326,60.00199999999998,l
sub-05,4,244.886,304.888,60.00199999999998,r
sub-06,1,68.12,128.122,60.00200000000001,c
sub-06,2,136.294,196.298,60.00399999999999,o
sub-06,3,202.7,262.702,60.00200000000001,l
sub-06,4,276.452,336.454,60.00200000000001,r
sub-07,1,31.77,91.772,60.00200000000001,c
sub-07,2,106.888,166.89,60.00199999999998,o
sub-07,3,173.476,233.478,60.00200000000001,l
sub-07,4,238.816,298.818,60.00199999999998,r
sub-08,1,130.65,190.654,60.00399999999999,c
sub-08,2,217.932,277.934,60.00200000000004,o
sub-08,3,287.07,347.072,60.00200000000001,l
sub-08,4,363.458,423.46,60.00199999999995,r
sub-09,1,48.686,108.688,60.002,c
sub-09,2,116.236,176.238,60.001999999999995,o
sub-09,3,187.928,247.93,60.00200000000001,l
sub-09,4,254.496,314.5,60.00399999999999,r
sub-10,1,29.628,89.63,60.001999999999995,c
sub-10,2,98.232,158.234,60.00200000000001,o
sub-10,3,167.956,227.958,60.00200000000001,l
sub-10,4,234.486,294.488,60.00200000000001,r
sub-11,1,40.668,100.668,60.00000000000001,c
sub-11,2,110.276,170.276,60.000000000000014,o
sub-11,3,178.872,238.872,60.0,l
sub-11,4,246.224,306.224,60.0,r
sub-12,1,134.462,194.46,59.99800000000002,c
sub-12,2,205.038,265.038,60.0,o
sub-12,3,280.652,340.652,60.0,l
sub-12,4,346.754,406.754,60.0,r
sub-14,1,118.694,178.694,59.999999999999986,c
sub-14,2,188.13,248.13,60.0,o
sub-14,3,259.684,319.682,59.99799999999999,l
sub-14,4,334.422,394.422,60.0,r
